id_miasta,miasto
1,Aleksandrow Kujawski
2,Alwernia
3,Baborów
4,Barlinek
5,Barwinek
6,Bezledy
7,Będzin
8,Biała Podlaska
9,Białaszewo
10,Białystok
11,Bielsk Podlaski
12,Bochnia
13,Bożewo
14,Brańsk
15,Brzeg Dolny
16,Brzesko
17,Bydgoszcz
18,Bytom
19,Chalupki
20,Chełm
21,Chorzów
22,Chyżne
23,Ciechanów
24,Ciechocinek
25,Cieszyn
26,Częstochowa
27,Daszyna
28,Dąbrowa Górnicza
29,Debrzno
30,Dębica
31,Dęblin
32,Dębowiec
33,Długopole-Zdrój
34,Dobieszowice
35,Dobre Miasto
36,Dzierżoniów
37,Elbląg
38,Ełk
39,Gdańsk
40,Gdynia
41,Giebło
42,Gierałtowice
43,Gliwice
44,Głubczyce
45,Głuchołazy
46,Gorki Male
47,Gorzów Wielkopolski
48,Gostyń
49,Grudziądz
50,Gryfice
51,Gubin
52,Halinów
53,Hrebenne
54,Iława
55,Inowrocław
56,Istebna
57,Izbica Kujawska
58,Jakuszyce
59,Jasło
60,Jastrzębie-Zdrój
61,Jaworzno
62,Jaworzynka
63,Jejkowice
64,Jelenia Góra
65,Jeżewo
66,Jędrzejów
67,Józefów
68,Julianka
69,Kalisz
70,Karniewo
71,Katowice
72,Kety
73,Kędzierzyn-Koźle
74,Kępice
75,Kielce
76,Kleszczów
77,Kłomnice
78,Kobylin
79,Kobylin-Borzymy
80,Kogutek
81,Kołbaskowo
82,Koniaków
83,Konin
84,Kostrzyn
85,Koszalin
86,Kościan
87,Krapkowice
88,Kraśnik
89,Krosno
90,Kruszwica
91,Krzeszowice
92,Krzyż Wielkopolski
93,Kudowa-Słone
94,Kuźnia Raciborska
95,Kuźnica Białostocka
96,Legionowo
97,Legnica
98,Leszno
99,Lędziny
100,Limanowa
101,Lódź
102,Lubaczów
103,Lublin
104,Lubliniec
105,Lwówek Sląski
106,Łazy
107,Łęczyca
108,Łomża
109,Malbork
110,Medyka
111,Miechów
112,Międzyrzecz
113,Międzyrzecze
114,Mikołajki
115,Mikołów
116,Mirów
117,Młynarze
118,Monki
119,Mordy
120,Mysłowice
121,Myszków
122,Nałęczów
123,Nowy Sącz
124,Nowy Targ
125,Nysa
126,Oborniki
127,Ogrodniki
128,Ogrodzieniec
129,Olkusz
130,Olsztyn
131,Olszyna
132,Opole
133,Ostrołęka
134,Oświęcim
135,Otmuchów
136,Piechowice
137,Pila
138,Pilica
139,Piotrków Trybunalski
140,Piwniczna-Zdrój
141,Płock
142,Poraj
143,Poznań
144,Prudnik
145,Przasnysz
146,Przemyśl
147,Pszczyna
148,Puławy
149,Pyrzowice
150,Pyrzyce
151,Rabka
152,Racibórz
153,Radom
154,Rajcza
155,Rogoźnik
156,Ruda Sląska
157,Rybnik
158,Rzeszów
159,Sanok
160,Siedlce
161,Siemianowice Sląskie
162,Sieradz
163,Siewierz
164,Skierniewice
165,Skorogoszcz
166,Sławków
167,Sobotka
168,Sopot
169,Sosnowiec
170,Sośnicowice
171,Strzelce Opolskie
172,Sucha Beskidzka
173,Suraż
174,Suwałki
175,Szamotuły
176,Szczecin
177,Szczecinek
178,Szczekociny
179,Szczyrk
180,Świecko
181,Świeradów-Zdrój
182,Świętochłowice
183,Świnoujskie
184,Tarnobrzeg
185,Tarnowskie Góry
186,Tarnów
187,Terespol
188,Tomaszów Lubelski
189,Toruń
190,Trzebinia
191,Tworóg
192,Tychy
193,Ustroń
194,Wadowice
195,Walce
196,Wałbrzych
197,Warszawa
198,Wągrowiec
199,Wejherowo
200,Węgorzewo
201,Wisła
202,Witonia
203,Włocławek
204,Włodowice
205,Wodzisław Sląski
206,Wojkowice
207,Wolbrom
208,Wrocław
209,Zabrodzie
210,Zabrze
211,Zakopane
212,Zambrów
213,Zamość
214,Zawiercie
215,Zgorzelec
216,Zielona Góra
217,Żory
218,Żyrardów
219,Żywiec
